id1,id2,weight
AdmiralWarrenTunney,BarryDiflorio,2
AdmiralWarrenTunney,ClaireDiflorio,1
AdmiralWarrenTunney,LindonWolfsbricker,1
AdmiralWarrenTunney,LouisJohnson,2
AdmiralWarrenTunney,WilliamAdler,1
AlexPierce,APlus,1
AlexPierce,BillBilson,1
AlexPierce,Charles,1
AlexPierce,Copper,3
AlexPierce,Eubie,6
AlexPierce,JoseyWales,10
AlexPierce,MarkLansing,5
AlexPierce,MonifahThibodeaux,2
AlexPierce,NinaBurgess,1
AlexPierce,PapaLo,7
AlexPierce,PigTails,1
AlexPierce,Priest,1
AlexPierce,RankingDons,4
AlexPierce,RenDog,4
AlexPierce,ShottaSherrif,5
AlexPierce,StormPosse,2
AlexPierce,TheSinger,17
AlexPierce,TheWangGang,1
AlexPierce,TonyPavarotti,1
AlexPierce,TristanPhillips,7
AlexPierce,Weeper,4
APlus,Copper,1
APlus,PapaLo,1
APlus,TristanPhillips,1
APlus,Weeper,1
BamBam,Chinaman,1
BamBam,Demus,7
BamBam,DoctorLove,1
BamBam,DorcasPalmer,1
BamBam,FunkyChicken,4
BamBam,Funnyboy,4
BamBam,Heckle,6
BamBam,JoseyWales,14
BamBam,LouisJohnson,1
BamBam,PapaLo,5
BamBam,PeterNasser,1
BamBam,Renton,1
BamBam,ShottaSherrif,2
BamBam,SirArthurGeorgeJennings,1
BamBam,TheSinger,5
BamBam,TonyPavarotti,3
BamBam,Weeper,14
BarryDiflorio,ClaireDiflorio,4
BarryDiflorio,DoctorLove,2
BarryDiflorio,EdgarAnatolyevichCheporov,1
BarryDiflorio,FreddyLugo,1
BarryDiflorio,GaelandFreddy,1
BarryDiflorio,HernánRicardoLozano,1
BarryDiflorio,LindonWolfsbricker,1
BarryDiflorio,LouisJohnson,10
BarryDiflorio,MarkLansing,1
BarryDiflorio,OrlandoBosch,1
BarryDiflorio,RogerTheroux,2
BarryDiflorio,SalResnick,2
BarryDiflorio,ShottaSherrif,1
BarryDiflorio,TheSinger,1
BarryDiflorio,WilliamAdler,1
Baxter,DoctorLove,1
Baxter,GriseldaBlanco,2
Baxter,JohnJohnK,2
Baxter,Paco,2
BillBilson,JoseyWales,1
BillBilson,PapaLo,1
BillBilson,Priest,2
BillBilson,ShottaSherrif,2
BillBilson,TheSinger,2
BuntinBanton,Chinaman,1
BuntinBanton,Dishrag,3
BuntinBanton,DoctorLove,2
BuntinBanton,Funnyboy,1
BuntinBanton,JoseyWales,3
BuntinBanton,LouisJohnson,1
BuntinBanton,PeterNasser,2
BuntinBanton,Priest,1
BuntinBanton,ShottaSherrif,3
BuntinBanton,TheWangGang,1
BuntinBanton,TonyPavarotti,1
BuntinBanton,Weeper,1
Charles,Funnyboy,1
Charles,JoseyWales,2
Charles,KimClarke,11
Charles,KimMarieBurgess,1
Charles,PapaLo,2
Charles,ShottaSherrif,1
Charles,TheSinger,1
Charles,TonyPavarotti,1
Charles,Weeper,1
Chinaman,Dishrag,1
Chinaman,JoseyWales,3
Chinaman,PapaLo,1
Chinaman,PeterNasser,2
Chinaman,Priest,1
Chinaman,ShottaSherrif,1
Chinaman,TheSinger,1
Chinaman,TonyPavarotti,1
Chinaman,Weeper,2
ClaireDiflorio,LindonWolfsbricker,1
ClaireDiflorio,LouisJohnson,3
ClaireDiflorio,RogerTheroux,1
Copper,DoctorLove,2
Copper,Heckle,2
Copper,JoseyWales,4
Copper,MrClark,1
Copper,PapaLo,7
Copper,PeterNasser,2
Copper,RankingDons,1
Copper,ShottaSherrif,5
Copper,SirArthurGeorgeJennings,1
Copper,TheSinger,4
Copper,TheWangGang,2
Copper,TonyPavarotti,2
Copper,TristanPhillips,4
Copper,Weeper,3
Demus,DorcasPalmer,1
Demus,FunkyChicken,3
Demus,Funnyboy,1
Demus,Heckle,8
Demus,JoseyWales,9
Demus,LeggoBeast,1
Demus,LouisJohnson,1
Demus,PapaLo,4
Demus,PeterNasser,1
Demus,Renton,1
Demus,ShottaSherrif,1
Demus,TheSinger,6
Demus,TonyPavarotti,1
Demus,Weeper,11
Dishrag,DoctorLove,1
Dishrag,Funnyboy,1
Dishrag,JoseyWales,3
Dishrag,PeterNasser,2
Dishrag,Priest,1
Dishrag,ShottaSherrif,3
Dishrag,TheWangGang,1
Dishrag,TonyPavarotti,1
DoctorLove,Eubie,2
DoctorLove,FreddyLugo,1
DoctorLove,GaelandFreddy,1
DoctorLove,GriseldaBlanco,3
DoctorLove,Heckle,1
DoctorLove,HernánRicardoLozano,1
DoctorLove,JoseyWales,18
DoctorLove,LouisJohnson,10
DoctorLove,MrClark,4
DoctorLove,OrlandoBosch,1
DoctorLove,PapaLo,6
DoctorLove,PeterNasser,13
DoctorLove,RankingDons,1
DoctorLove,ShottaSherrif,6
DoctorLove,StormPosse,1
DoctorLove,TheSinger,8
DoctorLove,TheWangGang,3
DoctorLove,TonyPavarotti,6
DoctorLove,Weeper,9
DorcasPalmer,FunkyChicken,1
DorcasPalmer,GailColthirst,5
DorcasPalmer,GastonColthirst,1
DorcasPalmer,Heckle,1
DorcasPalmer,JoseyWales,1
DorcasPalmer,KennethColthirst,3
DorcasPalmer,KimClarke,1
DorcasPalmer,MillicentSegree,1
DorcasPalmer,MissBetsy,1
DorcasPalmer,TonyPavarotti,1
DorcasPalmer,Weeper,1
EdgarAnatolyevichCheporov,LouisJohnson,1
EdgarAnatolyevichCheporov,RogerTheroux,1
Eubie,Funnyboy,1
Eubie,GriseldaBlanco,2
Eubie,JoseyWales,22
Eubie,LouisJohnson,1
Eubie,MonifahThibodeaux,5
Eubie,PapaLo,3
Eubie,PigTails,2
Eubie,RankingDons,9
Eubie,RenDog,9
Eubie,Romeo,1
Eubie,ShottaSherrif,1
Eubie,StormPosse,6
Eubie,TheSinger,4
Eubie,TonyPavarotti,3
Eubie,TristanPhillips,4
Eubie,Weeper,15
FreddyLugo,GaelandFreddy,1
FreddyLugo,HernánRicardoLozano,1
FreddyLugo,LouisJohnson,1
FreddyLugo,OrlandoBosch,1
FreddyLugo,ShottaSherrif,1
FunkyChicken,Funnyboy,1
FunkyChicken,Heckle,4
FunkyChicken,JoseyWales,5
FunkyChicken,Renton,1
FunkyChicken,Weeper,5
Funnyboy,Heckle,2
Funnyboy,JoseyWales,9
Funnyboy,MonifahThibodeaux,1
Funnyboy,PapaLo,3
Funnyboy,RankingDons,1
Funnyboy,RenDog,1
Funnyboy,ShottaSherrif,3
Funnyboy,StormPosse,1
Funnyboy,TheSinger,1
Funnyboy,TonyPavarotti,1
Funnyboy,TristanPhillips,1
Funnyboy,Weeper,4
GaelandFreddy,HernánRicardoLozano,1
GaelandFreddy,LouisJohnson,1
GaelandFreddy,OrlandoBosch,1
GaelandFreddy,ShottaSherrif,1
GailColthirst,GastonColthirst,1
GailColthirst,KennethColthirst,2
GailColthirst,MissBetsy,1
GastonColthirst,KennethColthirst,1
GriseldaBlanco,JohnJohnK,3
GriseldaBlanco,JoseyWales,7
GriseldaBlanco,MrClark,1
GriseldaBlanco,Paco,2
GriseldaBlanco,PapaLo,1
GriseldaBlanco,PeterNasser,1
GriseldaBlanco,RankingDons,1
GriseldaBlanco,TheHawaiianShirts,2
GriseldaBlanco,Weeper,3
Heckle,JoseyWales,10
Heckle,LeggoBeast,1
Heckle,LouisJohnson,1
Heckle,PapaLo,5
Heckle,PeterNasser,2
Heckle,Renton,1
Heckle,ShottaSherrif,1
Heckle,TheSinger,8
Heckle,TonyPavarotti,2
Heckle,TristanPhillips,1
Heckle,Weeper,11
HernánRicardoLozano,LouisJohnson,1
HernánRicardoLozano,OrlandoBosch,1
HernánRicardoLozano,ShottaSherrif,1
JohnJohnK,JoseyWales,1
JohnJohnK,Paco,2
JohnJohnK,TheHawaiianShirts,1
JoseyWales,JuniorSoul,1
JoseyWales,KennethColthirst,1
JoseyWales,LeggoBeast,3
JoseyWales,LouisJohnson,5
JoseyWales,MarkLansing,1
JoseyWales,MonifahThibodeaux,2
JoseyWales,MrClark,2
JoseyWales,OfficerGrant,1
JoseyWales,OfficerNevis,1
JoseyWales,OfficerWatson,1
JoseyWales,PapaLo,37
JoseyWales,PeterNasser,21
JoseyWales,Priest,5
JoseyWales,RankingDons,15
JoseyWales,RenDog,3
JoseyWales,Renton,2
JoseyWales,Romeo,1
JoseyWales,ShottaSherrif,25
JoseyWales,SirArthurGeorgeJennings,2
JoseyWales,StormPosse,7
JoseyWales,TheSinger,43
JoseyWales,TheWangGang,5
JoseyWales,TonyPavarotti,20
JoseyWales,Treetop,1
JoseyWales,TristanPhillips,8
JoseyWales,Weeper,51
JoseyWales,WilliamAdler,1
JuniorSoul,PapaLo,1
JuniorSoul,PeterNasser,1
JuniorSoul,Priest,1
JuniorSoul,SallyQ,1
JuniorSoul,ShottaSherrif,1
JuniorSoul,TheSinger,2
JuniorSoul,TheWangGang,1
JuniorSoul,TonyPavarotti,1
JuniorSoul,Weeper,1
KennethColthirst,LouisJohnson,1
KennethColthirst,Weeper,1
KimClarke,KimMarieBurgess,1
KimClarke,MilesCopeland,1
KimClarke,PapaLo,1
KimClarke,ShottaSherrif,1
KimMarieBurgess,NinaBurgess,10
KimMarieBurgess,PapaLo,1
KimMarieBurgess,RasTrent,5
KimMarieBurgess,ShottaSherrif,1
KimMarieBurgess,TheSinger,1
LeggoBeast,PapaLo,5
LeggoBeast,PeterNasser,1
LeggoBeast,ShottaSherrif,1
LeggoBeast,TheSinger,6
LeggoBeast,TonyPavarotti,5
LeggoBeast,Weeper,1
LindonWolfsbricker,LouisJohnson,1
LouisJohnson,MarkLansing,1
LouisJohnson,MrClark,2
LouisJohnson,OrlandoBosch,1
LouisJohnson,PapaLo,2
LouisJohnson,PeterNasser,4
LouisJohnson,PigTails,1
LouisJohnson,RogerTheroux,2
LouisJohnson,SalResnick,1
LouisJohnson,ShottaSherrif,1
LouisJohnson,TheSinger,4
LouisJohnson,TonyPavarotti,1
LouisJohnson,Weeper,5
LouisJohnson,WilliamAdler,1
MarkLansing,PapaLo,1
MarkLansing,ShottaSherrif,1
MarkLansing,TheSinger,9
MarkLansing,WilliamAdler,3
MillicentSegree,TheSinger,1
MillicentSegree,TonyPavarotti,1
MonifahThibodeaux,PapaLo,1
MonifahThibodeaux,PigTails,1
MonifahThibodeaux,RankingDons,1
MonifahThibodeaux,RenDog,4
MonifahThibodeaux,StormPosse,3
MonifahThibodeaux,TonyPavarotti,1
MonifahThibodeaux,TristanPhillips,1
MrClark,PapaLo,1
MrClark,PeterNasser,3
MrClark,RankingDons,1
MrClark,ShottaSherrif,1
MrClark,TheSinger,2
MrClark,TonyPavarotti,1
MrClark,Weeper,2
NinaBurgess,RasTrent,2
NinaBurgess,TheSinger,1
OfficerGrant,OfficerNevis,1
OfficerGrant,OfficerWatson,1
OfficerGrant,PeterNasser,1
OfficerGrant,TheSinger,1
OfficerGrant,TonyPavarotti,1
OfficerNevis,OfficerWatson,1
OfficerNevis,PeterNasser,1
OfficerNevis,TheSinger,1
OfficerNevis,TonyPavarotti,1
OfficerWatson,PeterNasser,1
OfficerWatson,TheSinger,1
OfficerWatson,TonyPavarotti,1
OrlandoBosch,ShottaSherrif,1
Paco,TheHawaiianShirts,1
PapaLo,PeterNasser,8
PapaLo,Priest,5
PapaLo,RankingDons,3
PapaLo,RenDog,1
PapaLo,SallyQ,1
PapaLo,ShottaSherrif,25
PapaLo,SirArthurGeorgeJennings,2
PapaLo,StormPosse,2
PapaLo,TheSinger,33
PapaLo,TheWangGang,4
PapaLo,TonyPavarotti,13
PapaLo,TristanPhillips,6
PapaLo,Weeper,14
PapaLo,WilliamAdler,1
PeterNasser,Priest,1
PeterNasser,RankingDons,1
PeterNasser,ShottaSherrif,8
PeterNasser,StormPosse,1
PeterNasser,TheSinger,18
PeterNasser,TheWangGang,4
PeterNasser,TonyPavarotti,13
PeterNasser,Treetop,1
PeterNasser,TristanPhillips,1
PeterNasser,Weeper,10
PigTails,RenDog,2
PigTails,TonyPavarotti,1
PigTails,TristanPhillips,1
Priest,SallyQ,1
Priest,ShottaSherrif,6
Priest,TheSinger,5
Priest,TheWangGang,1
RankingDons,RenDog,1
RankingDons,ShottaSherrif,2
RankingDons,StormPosse,5
RankingDons,TheSinger,2
RankingDons,TristanPhillips,4
RankingDons,Weeper,9
RenDog,StormPosse,2
RenDog,TheSinger,1
RenDog,TonyPavarotti,3
RenDog,TristanPhillips,2
Renton,TheSinger,1
Renton,Weeper,2
Romeo,Weeper,1
SallyQ,ShottaSherrif,1
SallyQ,TheSinger,1
SallyQ,TheWangGang,1
ShottaSherrif,SirArthurGeorgeJennings,1
ShottaSherrif,TheSinger,22
ShottaSherrif,TheWangGang,7
ShottaSherrif,TonyPavarotti,8
ShottaSherrif,Treetop,1
ShottaSherrif,TristanPhillips,4
ShottaSherrif,Weeper,5
ShottaSherrif,WilliamAdler,1
SirArthurGeorgeJennings,TheSinger,3
SirArthurGeorgeJennings,TheWangGang,1
SirArthurGeorgeJennings,TonyMcFerson,1
StormPosse,TheSinger,2
StormPosse,TonyPavarotti,1
StormPosse,TristanPhillips,2
StormPosse,Weeper,3
TheSinger,TheWangGang,4
TheSinger,TonyMcFerson,1
TheSinger,TonyPavarotti,21
TheSinger,Treetop,1
TheSinger,TristanPhillips,5
TheSinger,Weeper,23
TheSinger,WilliamAdler,2
TheWangGang,TonyPavarotti,3
TheWangGang,Treetop,1
TheWangGang,TristanPhillips,1
TheWangGang,Weeper,1
TonyPavarotti,Treetop,1
TonyPavarotti,TristanPhillips,2
TonyPavarotti,Weeper,9
TristanPhillips,Weeper,5
